epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,131.836,1.14808,0.70253,1.1697,0.85498,0.98483,0.97214,0.64329,1.4341,0.82972,1.54858,0.0011684,0.0011684,0.0011684
44,133.748,1.07334,0.61049,1.07229,0.99766,0.83333,0.94167,0.65772,1.45878,0.86301,1.49884,0.0011486,0.0011486,0.0011486
45,135.663,1.01403,0.61698,1.07498,0.96876,0.83333,0.85274,0.59448,1.57084,0.73266,1.61586,0.0011288,0.0011288,0.0011288
46,137.373,0.99298,0.62339,1.05035,0.96876,0.83333,0.85274,0.59448,1.57084,0.73266,1.61586,0.001109,0.001109,0.001109
47,139.107,0.99481,0.62028,1.06749,0.97422,0.83333,0.84775,0.62035,1.55983,0.70224,1.70113,0.0010892,0.0010892,0.0010892
48,140.818,0.93558,0.60493,1.02212,0.981,0.83333,0.85069,0.6025,1.58011,0.78838,1.65676,0.0010694,0.0010694,0.0010694
49,142.579,1.01799,0.61985,1.0727,0.97974,0.83333,0.915,0.57295,1.46466,0.67605,1.46581,0.0010496,0.0010496,0.0010496
50,144.3,1.06559,0.60419,1.11482,0.9626,0.83333,0.915,0.5963,1.65912,0.72589,1.69411,0.0010298,0.0010298,0.0010298
51,146.096,1.01402,0.61148,1.01965,0.96611,0.83333,0.84368,0.60245,1.58174,0.83843,1.66526,0.00101,0.00101,0.00101
52,147.871,0.90571,0.56466,1.03678,0.97533,0.83333,0.84449,0.57544,1.53502,0.86469,1.44731,0.0009902,0.0009902,0.0009902
53,149.634,0.89127,0.58109,0.98359,0.98622,0.83333,0.85382,0.60248,1.60561,0.91697,1.46223,0.0009704,0.0009704,0.0009704
54,151.414,0.90625,0.56425,1.00604,0.98622,0.83333,0.85382,0.60248,1.60561,0.91697,1.46223,0.0009506,0.0009506,0.0009506
55,153.249,0.9851,0.60232,0.99678,0.98668,0.83333,0.88833,0.61712,1.4883,0.80581,1.42671,0.0009308,0.0009308,0.0009308
56,155.264,0.89637,0.54669,1.00387,0.98497,0.83333,0.87864,0.59754,1.44262,0.78232,1.4138,0.000911,0.000911,0.000911
57,157.146,0.89264,0.58559,1.04449,0.98996,0.83333,0.88553,0.56387,1.52183,0.76246,1.46245,0.0008912,0.0008912,0.0008912
58,159.088,0.95862,0.59125,1.04355,0.98979,0.83333,0.90357,0.62794,1.47642,0.75222,1.43537,0.0008714,0.0008714,0.0008714
59,160.964,0.85839,0.53287,1.01212,0.98622,0.83333,0.92227,0.62453,1.41012,0.72289,1.44203,0.0008516,0.0008516,0.0008516
60,162.779,0.95701,0.57548,1.03211,0.98613,0.83333,0.955,0.56848,1.46241,0.72545,1.50382,0.0008318,0.0008318,0.0008318
61,164.599,0.93837,0.57235,1.01882,0.98185,0.83333,0.94167,0.60877,1.43283,0.60736,1.51145,0.000812,0.000812,0.000812
62,166.316,0.82425,0.53505,0.98206,0.98185,0.83333,0.94167,0.60877,1.43283,0.60736,1.51145,0.0007922,0.0007922,0.0007922
63,168.136,0.86683,0.56303,0.99408,0.82992,1,0.97214,0.67327,1.42072,0.56471,1.46378,0.0007724,0.0007724,0.0007724
64,170.03,0.82533,0.49389,0.96819,1,0.99352,0.995,0.65735,1.51372,0.64076,1.53347,0.0007526,0.0007526,0.0007526
65,171.794,0.84935,0.52895,1.03626,0.99904,1,0.995,0.60832,1.56309,0.64898,1.64062,0.0007328,0.0007328,0.0007328
66,173.57,0.85351,0.5249,1.02038,1,0.99125,0.995,0.63139,1.50268,0.62122,1.57413,0.000713,0.000713,0.000713
67,175.383,0.82863,0.53907,0.96013,0.98939,0.83333,0.895,0.58588,1.50139,0.69754,1.44427,0.0006932,0.0006932,0.0006932
68,177.144,0.84128,0.52339,1.03978,0.98925,0.83333,0.85274,0.53885,1.5941,0.72021,1.42796,0.0006734,0.0006734,0.0006734
69,178.903,0.84805,0.5069,0.97585,0.9877,0.83333,0.955,0.63698,1.42944,0.66229,1.32876,0.0006536,0.0006536,0.0006536
70,180.643,0.80334,0.48387,0.98826,0.9877,0.83333,0.955,0.63698,1.42944,0.66229,1.32876,0.0006338,0.0006338,0.0006338
71,182.38,0.80664,0.50563,0.97973,1,0.99128,0.995,0.6523,1.43436,0.5919,1.44234,0.000614,0.000614,0.000614
72,184.134,0.83708,0.53713,1.05575,0.99102,1,0.995,0.67992,1.39785,0.58133,1.42895,0.0005942,0.0005942,0.0005942
73,186.136,0.82015,0.48671,0.95101,0.98873,1,0.995,0.65048,1.42627,0.55006,1.45567,0.0005744,0.0005744,0.0005744
74,189.241,0.77484,0.5014,0.972,0.99011,1,0.995,0.64341,1.48112,0.54136,1.47502,0.0005546,0.0005546,0.0005546
75,192.62,0.75979,0.48066,0.96849,0.99758,1,0.995,0.60921,1.49622,0.58553,1.49943,0.0005348,0.0005348,0.0005348
76,195.99,0.78397,0.52775,0.98719,1,0.99462,0.995,0.59399,1.50017,0.62402,1.49571,0.000515,0.000515,0.000515
77,201.881,0.71289,0.45736,0.94323,1,0.9906,0.995,0.60963,1.53649,0.66059,1.51837,0.0004952,0.0004952,0.0004952
78,207.387,0.64434,0.4418,0.92329,1,0.9906,0.995,0.60963,1.53649,0.66059,1.51837,0.0004754,0.0004754,0.0004754
79,214.393,0.6785,0.44171,0.93476,1,0.99022,0.995,0.62443,1.55494,0.66371,1.51468,0.0004556,0.0004556,0.0004556
80,219.718,0.76324,0.47153,1.01075,1,0.9893,0.995,0.63798,1.54052,0.73006,1.50856,0.0004358,0.0004358,0.0004358
81,223.524,0.73039,0.43669,0.94867,1,0.98718,0.995,0.6133,1.54637,0.72499,1.48799,0.000416,0.000416,0.000416
82,226.632,0.67809,0.42949,0.8963,1,0.83312,0.97214,0.60213,1.54315,0.77492,1.49254,0.0003962,0.0003962,0.0003962
83,230.179,0.70559,0.45617,0.92757,1,0.82529,0.97214,0.57868,1.55856,0.79293,1.52071,0.0003764,0.0003764,0.0003764
84,233.121,0.73219,0.45232,0.98436,1,0.82787,0.97214,0.62001,1.58873,0.74249,1.56361,0.0003566,0.0003566,0.0003566
85,234.856,0.72974,0.4508,0.96001,0.9954,0.83333,0.955,0.55775,1.63866,0.72086,1.5929,0.0003368,0.0003368,0.0003368
86,236.573,0.70328,0.43422,0.93795,0.9954,0.83333,0.955,0.55775,1.63866,0.72086,1.5929,0.000317,0.000317,0.000317
87,238.32,0.70517,0.46296,0.97047,0.99069,0.83333,0.97214,0.56761,1.67716,0.72394,1.61217,0.0002972,0.0002972,0.0002972
88,240.042,0.68635,0.45024,0.95391,0.98942,0.83333,0.97214,0.59153,1.7113,0.69634,1.61465,0.0002774,0.0002774,0.0002774
89,241.808,0.71306,0.45244,0.96463,0.98865,0.83333,0.97214,0.58963,1.6985,0.65651,1.6016,0.0002576,0.0002576,0.0002576
90,243.555,0.58364,0.40382,0.9147,0.98869,0.83333,0.97214,0.56683,1.67338,0.67587,1.5917,0.0002378,0.0002378,0.0002378
91,250.781,0.6105,0.39333,0.918,0.98865,0.83333,0.97214,0.56653,1.65167,0.72077,1.55523,0.000218,0.000218,0.000218
92,252.61,0.60626,0.38262,0.92775,0.98857,0.83333,0.97214,0.56653,1.62534,0.70982,1.52563,0.0001982,0.0001982,0.0001982
93,254.391,0.59738,0.38697,0.92038,0.98828,0.83333,0.955,0.57084,1.59965,0.69276,1.51005,0.0001784,0.0001784,0.0001784
94,256.1,0.56462,0.37245,0.93712,0.98828,0.83333,0.955,0.57084,1.59965,0.69276,1.51005,0.0001586,0.0001586,0.0001586
95,257.877,0.5352,0.35868,0.89089,0.98855,0.83333,0.97214,0.58201,1.5883,0.66872,1.49605,0.0001388,0.0001388,0.0001388
96,259.677,0.56519,0.3905,0.93238,0.98903,0.83333,0.97214,0.591,1.60774,0.67459,1.49634,0.000119,0.000119,0.000119
97,261.397,0.56825,0.34971,0.93681,0.98941,0.83333,0.97214,0.57744,1.62241,0.69076,1.49268,9.92e-05,9.92e-05,9.92e-05
98,263.112,0.55276,0.36774,0.89124,0.98983,0.83333,0.955,0.54884,1.63399,0.72563,1.49669,7.94e-05,7.94e-05,7.94e-05
99,264.86,0.53553,0.36715,0.88627,0.98998,0.83333,0.955,0.57428,1.65594,0.72592,1.50635,5.96e-05,5.96e-05,5.96e-05
100,266.613,0.55581,0.35161,0.90645,0.99002,0.83333,0.955,0.57766,1.66836,0.72146,1.51565,3.98e-05,3.98e-05,3.98e-05
